img_id,img_hash,base_name,img_path,mask_path,raw_img,raw_mask,height,width,split
61c81614cedf45c4b7158845907442d8.png,7216542084739340939,case212,images/61c81614cedf45c4b7158845907442d8.png,masks/61c81614cedf45c4b7158845907442d8.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case212.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case212_tumor.png,512,512,train
800c43837bc747cea07f3234d597dcb6.png,12723942522718775054,case206,images/800c43837bc747cea07f3234d597dcb6.png,masks/800c43837bc747cea07f3234d597dcb6.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case206.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case206_tumor.png,512,512,val
4225c2b2a69a4e83b57d0926e4a8745f.png,14741590798727376077,case128,images/4225c2b2a69a4e83b57d0926e4a8745f.png,masks/4225c2b2a69a4e83b57d0926e4a8745f.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case128.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case128_tumor.png,512,512,train
bc6393a59b284b6f898c5f28605e0947.png,4922375409307999195,case152,images/bc6393a59b284b6f898c5f28605e0947.png,masks/bc6393a59b284b6f898c5f28605e0947.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case152.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case152_tumor.png,512,512,val
7cef12f4b82d4864b2c87e229b64b684.png,12163043864571265985,case010,images/7cef12f4b82d4864b2c87e229b64b684.png,masks/7cef12f4b82d4864b2c87e229b64b684.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case010.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case010_tumor.png,512,512,train
daf2cb4c11c842baa15c7020b00287fe.png,5426104646694103422,case004,images/daf2cb4c11c842baa15c7020b00287fe.png,masks/daf2cb4c11c842baa15c7020b00287fe.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case004.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case004_tumor.png,512,512,train
8f050c938d134fb6bb22bec52274e5ce.png,15006361995417835901,case014,images/8f050c938d134fb6bb22bec52274e5ce.png,masks/8f050c938d134fb6bb22bec52274e5ce.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case014.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case014_tumor.png,512,512,train
c130fd3865e942489fa4c9bf921d475b.png,6220145748887245008,case038,images/c130fd3865e942489fa4c9bf921d475b.png,masks/c130fd3865e942489fa4c9bf921d475b.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case038.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case038_tumor.png,512,512,train
8dbbda625e054c489c76f23063f01947.png,5966042084793885474,case222,images/8dbbda625e054c489c76f23063f01947.png,masks/8dbbda625e054c489c76f23063f01947.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case222.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case222_tumor.png,512,512,train
37e7a91c55db47cb8bd956430e5f6507.png,15236984692630842408,case236,images/37e7a91c55db47cb8bd956430e5f6507.png,masks/37e7a91c55db47cb8bd956430e5f6507.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case236.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case236_tumor.png,512,512,test
247c58f484b5464da637ddc0cb669152.png,3218331766618891802,case146,images/247c58f484b5464da637ddc0cb669152.png,masks/247c58f484b5464da637ddc0cb669152.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case146.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case146_tumor.png,512,512,train
7c12b201f6304aed9281c001e385ddb4.png,15583974382515742311,case164,images/7c12b201f6304aed9281c001e385ddb4.png,masks/7c12b201f6304aed9281c001e385ddb4.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case164.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case164_tumor.png,512,512,train
a5ecebaa4d30447380a407586d64a71a.png,3775644403114009688,case170,images/a5ecebaa4d30447380a407586d64a71a.png,masks/a5ecebaa4d30447380a407586d64a71a.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case170.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case170_tumor.png,512,512,train
d65136ff1e3d4b66804ab00277a5a575.png,11199756074265337293,case158,images/d65136ff1e3d4b66804ab00277a5a575.png,masks/d65136ff1e3d4b66804ab00277a5a575.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case158.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case158_tumor.png,512,512,val
8acd3d9d4b174599b4753a082a92ec51.png,16971650659140408854,case021,images/8acd3d9d4b174599b4753a082a92ec51.png,masks/8acd3d9d4b174599b4753a082a92ec51.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case021.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case021_tumor.png,512,512,train
bef03d359b4e4b9a9fe821ea080b4e44.png,12491133354073215323,case217,images/bef03d359b4e4b9a9fe821ea080b4e44.png,masks/bef03d359b4e4b9a9fe821ea080b4e44.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case217.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case217_tumor.png,512,512,train
ab4893c54931475d9de0d252dcf9686e.png,17939192828714609380,case167,images/ab4893c54931475d9de0d252dcf9686e.png,masks/ab4893c54931475d9de0d252dcf9686e.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case167.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case167_tumor.png,512,512,train
007529ffc4ee4005a0cf4fc91e5aafc1.png,8312651238428723272,case159,images/007529ffc4ee4005a0cf4fc91e5aafc1.png,masks/007529ffc4ee4005a0cf4fc91e5aafc1.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case159.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case159_tumor.png,512,512,val
0207ac51382c452885350830534cb282.png,5422989613852676697,case171,images/0207ac51382c452885350830534cb282.png,masks/0207ac51382c452885350830534cb282.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case171.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case171_tumor.png,512,512,train
388201c9a46944af8e3e7c40cee8784a.png,11229396268888172843,case092,images/388201c9a46944af8e3e7c40cee8784a.png,masks/388201c9a46944af8e3e7c40cee8784a.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case092.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case092_tumor.png,512,512,train
5894e0b04dca48bdb390d2e65899419a.png,3570995608203300864,case165,images/5894e0b04dca48bdb390d2e65899419a.png,masks/5894e0b04dca48bdb390d2e65899419a.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case165.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case165_tumor.png,512,512,train
0092466cdadb4109baa8769fe437a682.png,4741852917480869550,case039,images/0092466cdadb4109baa8769fe437a682.png,masks/0092466cdadb4109baa8769fe437a682.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case039.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case039_tumor.png,512,512,train
54b7a2f6a0b941f5962f98fb178d6d3c.png,16779524789281022440,case005,images/54b7a2f6a0b941f5962f98fb178d6d3c.png,masks/54b7a2f6a0b941f5962f98fb178d6d3c.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case005.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case005_tumor.png,512,512,train
692b9d04074841e59f0841637f3ada7d.png,16207554304589083376,case011,images/692b9d04074841e59f0841637f3ada7d.png,masks/692b9d04074841e59f0841637f3ada7d.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case011.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case011_tumor.png,512,512,train
b27b57e4c1804b53bb05e4da5d573e76.png,7776808558497085600,case086,images/b27b57e4c1804b53bb05e4da5d573e76.png,masks/b27b57e4c1804b53bb05e4da5d573e76.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case086.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case086_tumor.png,512,512,val
3ea37a670eea45f9b919476ffedc0adf.png,14581050625520986715,case109,images/3ea37a670eea45f9b919476ffedc0adf.png,masks/3ea37a670eea45f9b919476ffedc0adf.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case109.png,data/raw/BrEaST-Lesions_USG-images_and_masks/case109_tumor.png,512,512,train
