img_id,img_hash,base_name,img_path,mask_path,raw_img,raw_mask,height,width,label,split
BrCaWisconsin_63c992dacfb94ef784b45a812aaef2e0.png,8274683946477970018,malignant (185),images/63c992dacfb94ef784b45a812aaef2e0.png,masks/BrCaWisconsin_63c992dacfb94ef784b45a812aaef2e0.png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (185).png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (185)_mask.png,512,512,malignant,train
BrCaWisconsin_c43af404920e4f408253d1ace2758f90.png,11164622024909018141,malignant (5),images/c43af404920e4f408253d1ace2758f90.png,masks/BrCaWisconsin_c43af404920e4f408253d1ace2758f90.png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (5).png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (5)_mask.png,512,512,malignant,test
BrCaWisconsin_b9cdc1c414934d209bfdb2575369aefa.png,13084458355639532163,malignant (206),images/b9cdc1c414934d209bfdb2575369aefa.png,masks/BrCaWisconsin_b9cdc1c414934d209bfdb2575369aefa.png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (206).png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (206)_mask.png,512,512,malignant,val
BrCaWisconsin_a13b690d732148099acded03761842d1.png,7247552314863951006,malignant (74),images/a13b690d732148099acded03761842d1.png,masks/BrCaWisconsin_a13b690d732148099acded03761842d1.png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (74).png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (74)_mask.png,512,512,malignant,train
BrCaWisconsin_6e56cb01fd8e4be8a3e685d7fc8b6372.png,15539626069707073102,malignant (136),images/6e56cb01fd8e4be8a3e685d7fc8b6372.png,masks/BrCaWisconsin_6e56cb01fd8e4be8a3e685d7fc8b6372.png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (136).png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (136)_mask.png,512,512,malignant,test
BrCaWisconsin_e98a2f7bae564bef826aa269b51f1b79.png,17498073507529389607,malignant (178),images/e98a2f7bae564bef826aa269b51f1b79.png,masks/BrCaWisconsin_e98a2f7bae564bef826aa269b51f1b79.png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (178).png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (178)_mask.png,512,512,malignant,val
BrCaWisconsin_ab9fdd5335874dbfabdc2f805ca6c5de.png,6043440195441170070,malignant (197),images/ab9fdd5335874dbfabdc2f805ca6c5de.png,masks/BrCaWisconsin_ab9fdd5335874dbfabdc2f805ca6c5de.png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (197).png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (197)_mask.png,512,512,malignant,train
BrCaWisconsin_c2adfa8cbf5d4bc1a4a1a4fd6927e143.png,5347139230722877511,malignant (51),images/c2adfa8cbf5d4bc1a4a1a4fd6927e143.png,masks/BrCaWisconsin_c2adfa8cbf5d4bc1a4a1a4fd6927e143.png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (51).png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (51)_mask.png,512,512,malignant,train
BrCaWisconsin_42fbd45e5e2c4612a58a4660db1f8c93.png,4967640326004106139,malignant (122),images/42fbd45e5e2c4612a58a4660db1f8c93.png,masks/BrCaWisconsin_42fbd45e5e2c4612a58a4660db1f8c93.png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (122).png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (122)_mask.png,512,512,malignant,test
BrCaWisconsin_8fdc4b4e41124e42af3e865e8215dd38.png,15902814213996416012,malignant (47),images/8fdc4b4e41124e42af3e865e8215dd38.png,masks/BrCaWisconsin_8fdc4b4e41124e42af3e865e8215dd38.png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (47).png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (47)_mask.png,512,512,malignant,train
BrCaWisconsin_03482282217c4d80bf97847ca64b1325.png,8750106081773175561,malignant (181),images/03482282217c4d80bf97847ca64b1325.png,masks/BrCaWisconsin_03482282217c4d80bf97847ca64b1325.png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (181).png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (181)_mask.png,512,512,malignant,train
BrCaWisconsin_787bfbd33fd84424ab417da7610c41d8.png,11229046528440961947,malignant (210),images/787bfbd33fd84424ab417da7610c41d8.png,masks/BrCaWisconsin_787bfbd33fd84424ab417da7610c41d8.png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (210).png,data/raw/BrCaWisconsin/Dataset_BUSI_with_GT/malignant/malignant (210)_mask.png,512,512,malignant,train
